lat,lon,LST_Kelvin_mean
36.0,37.25,305.30373935332096
36.0,37.75,302.73684166464574
36.0,38.0,303.8074838043246
36.25,-6.25,296.98446626956843
36.25,-6.0,299.17918590007815
36.25,-5.75,297.9379431178054
36.25,-5.5,295.8519527252923
36.25,-5.25,297.7968912197807
36.25,0.25,297.4808470580183
36.25,0.5,299.069231405409
36.25,0.75,299.26239139450524
36.25,1.0,300.7287866547493
36.25,1.25,302.0183390636891
36.25,1.5,301.86781401460973
36.25,1.75,301.9277271691542
36.25,2.0,301.14664479625446
36.25,2.25,300.3180190883264
36.25,2.5,300.3978694272595
36.25,2.75,298.76603224803296
36.25,3.0,298.8842151470236
36.25,3.25,301.36291192918424
36.25,3.5,300.8773353853273
36.25,6.0,299.9557846997661
36.25,6.25,299.3072240271398
36.25,6.5,299.43845015942765
36.25,6.75,299.690790909511
36.25,8.5,298.3067989287175
36.25,8.75,298.5517971559177
36.25,9.0,299.02894532223513
36.25,9.25,299.2147015892806
36.25,9.5,298.9118561590341
36.25,9.75,298.1095505238241
36.25,10.0,298.66520480581767
36.25,10.25,299.4095231789786
36.25,10.5,300.1572110490798
36.25,23.0,295.2642222362314
36.25,25.5,300.59171279946503
36.25,25.75,297.41628333063164
36.25,26.75,295.4043850772955
36.25,27.5,295.8209140918376
36.25,27.75,296.1229916116244
36.25,28.0,298.26450163840025
36.25,28.25,300.2289504724718
36.25,29.25,299.32206627739447
36.25,29.5,294.81428597948513
36.25,29.75,297.26993873661485
36.25,30.0,295.60588571726356
36.25,30.25,298.32441553925173
36.25,30.5,296.6134924113389
36.25,32.25,299.1515022584462
36.25,32.5,294.6829781352731
36.25,33.75,297.67363559510613
36.5,-6.25,297.59064866365475
36.5,-6.0,300.67395888396345
36.5,-5.75,299.1825008556632
36.5,-5.5,295.3705971182756
36.5,-5.25,296.40447225869434
36.5,-5.0,296.0593015045832
36.5,-4.75,297.8150589831473
36.5,-4.5,297.7389528524865
36.5,1.0,296.16590007977373
36.5,1.25,298.3824448615197
36.5,1.5,297.2190669026155
36.5,1.75,296.74847864939295
36.5,2.0,296.24883933001934
