lat,lon,LST_Celsius_mean
37.0,27.5,23.812161444161177
37.0,27.75,23.98997347469907
37.0,28.0,23.790262497240235
37.0,28.25,23.44625878179147
37.0,28.5,24.07058983038553
37.0,28.75,21.580114740079807
37.0,29.0,21.427905611068184
37.0,29.25,20.131582657291574
37.0,29.5,19.96270931060775
37.0,29.75,22.92815338935685
37.0,30.0,23.207937994258998
37.0,30.25,24.224067065793406
37.0,30.5,23.71425299530739
37.0,30.75,28.202845702390448
37.0,31.0,27.752895754349595
37.0,31.25,25.639552668142983
37.0,31.5,21.46202447112512
37.0,31.75,19.815102530600996
37.0,32.0,12.170020844238195
37.0,32.25,16.077779465547565
37.0,32.5,21.914370680527554
37.0,32.75,23.916444970103896
37.0,33.0,24.619542096439545
37.0,33.25,23.658523527161094
37.0,33.5,23.74698517944711
37.0,33.75,18.944892910354667
37.0,34.0,16.37328687288914
37.0,34.25,16.75869446384081
37.0,34.5,21.74896829496845
37.0,34.75,26.554394779331687
37.0,35.0,28.29834141299267
37.0,35.25,26.282593034984473
37.0,35.75,27.939716550847095
37.0,36.0,27.41509268896374
37.0,36.25,24.148089857073046
37.0,36.5,21.57558583912919
37.0,36.75,28.572921204599368
37.0,37.0,30.09859376176064
37.0,37.25,30.443518204620943
37.0,37.5,30.97466334338594
37.0,37.75,31.85389064449481
37.0,38.0,31.5800536844946
37.25,-9.0,21.624578484072174
37.25,-8.75,24.228515133084215
37.25,-8.5,26.26299365106405
37.25,-8.25,27.519487149147437
37.25,-8.0,26.352293412324798
37.25,-7.75,26.555868654187293
37.25,-7.5,28.302403555595333
37.25,-7.25,26.935498064601802
37.25,-7.0,26.03223225399978
37.25,-6.75,27.755303846488573
37.25,-6.5,28.328914257134727
37.25,-6.25,27.899905952491906
37.25,-6.0,26.991065502482115
37.25,-5.75,30.53472736039697
37.25,-5.5,31.452668663666145
37.25,-5.25,30.265787675614376
37.25,-5.0,28.843841311680762
37.25,-4.75,27.63599720038718
37.25,-4.5,27.49831576659369
37.25,-4.25,25.49205140328513
37.25,-4.0,26.57722700118103
37.25,-3.75,26.4008868786064
37.25,-3.5,23.096187395358754
37.25,-3.25,22.636946810689267
37.25,-3.0,24.86185077830612
37.25,-2.75,23.28019264875809
37.25,-2.5,23.583926065087326
37.25,-2.25,26.31463022568147
37.25,-2.0,26.98246720616396
37.25,-1.75,26.973650635133197
37.25,9.0,20.755027466870956
37.25,9.25,22.81483258480546
37.25,9.5,22.42063821575084
37.25,9.75,22.792731157439903
37.25,10.0,24.063978592659282
37.25,10.25,23.900679082435715
37.25,13.25,25.322974112355723
37.25,13.5,25.43314091078264
37.25,13.75,25.115871891245774
37.25,14.0,26.024207042322587
37.25,14.25,25.33742219552488
37.25,14.5,24.575891561747028
37.25,14.75,24.338735630761164
37.25,15.0,24.718151591654134
37.25,21.5,24.25278775859772
37.25,21.75,21.890817465017335
37.25,22.0,22.409235951121275
37.25,22.25,20.40988233803961
37.25,22.5,19.80933897501052
37.25,22.75,21.40110743618908
37.25,23.0,23.99692574418276
37.25,23.25,25.048548460975496
37.25,23.5,21.702026132731362
37.25,24.5,23.311721113721262
37.25,25.0,23.747096774193437
37.25,25.25,22.452898972142577
37.25,25.5,21.709094979528516
37.25,26.5,22.75045400982782
37.25,26.75,22.69104845723035
37.25,27.0,22.811133451957346
37.25,27.25,24.89965626796385
37.25,27.5,24.148754238301308
37.25,27.75,25.820063353131104
37.25,28.0,21.896123258773116
37.25,28.25,23.335256928571482
37.25,28.5,20.495750375670525
37.25,28.75,22.056482558493087
37.25,29.0,21.25726928239152
37.25,29.25,20.663274303313813
37.25,29.5,24.24147397022074
37.25,29.75,24.527340251626413
37.25,30.0,22.922660620978093
37.25,30.25,23.734915237802113
37.25,30.5,23.292402251636645
37.25,30.75,23.302360743105226
37.25,31.0,20.556027879615613
37.25,31.25,20.541022815936003
