lat,lon,LST_Kelvin,LST_Celsius
35.5,4.0,301.615117581187,28.46511758118703
35.5,4.25,305.42721787709496,32.277217877094984
35.5,4.5,307.28264444444443,34.13264444444445
35.5,4.75,307.2526222222222,34.10262222222224
35.5,5.0,307.49302222222224,34.34302222222226
35.5,5.25,307.6925777777778,34.54257777777781
35.5,5.5,307.1105333333333,33.96053333333333
35.5,5.75,302.06157777777776,28.91157777777778
35.5,6.0,299.47302222222226,26.323022222222278
35.5,6.25,296.4467220902613,23.296722090261312
35.5,6.5,300.8141884222474,27.664188422247435
35.5,6.75,302.55513333333334,29.405133333333367
35.5,7.0,301.3042888888889,28.154288888888914
35.5,7.25,301.9452444444445,28.795244444444506
35.5,7.5,302.58344444444447,29.43344444444449
35.5,7.75,300.44371111111116,27.29371111111118
35.5,8.0,302.3994,29.249400000000037
35.5,8.25,301.20313333333337,28.053133333333392
35.5,8.5,301.73573333333337,28.585733333333394
35.5,8.75,302.55477777777776,29.40477777777778
35.5,9.0,304.3186666666667,31.168666666666695
35.5,9.25,307.1862222222223,34.03622222222231
35.5,9.5,307.29122222222225,34.14122222222227
35.5,9.75,307.56155555555557,34.411555555555594
35.5,10.0,308.0657777777778,34.915777777777805
35.5,10.25,308.8549111111111,35.70491111111113
35.5,10.5,306.76622222222227,33.61622222222229
35.5,10.75,306.3037111111111,33.153711111111136
35.5,11.0,304.8636772983114,31.71367729831144
35.5,12.5,302.0208333333333,28.870833333333337
35.5,12.75,302.02,28.870000000000005
35.5,23.5,295.53280575539566,22.38280575539568
35.5,23.75,294.590373280943,21.44037328094305
35.5,24.0,292.9673722627737,19.817372262773745
35.5,24.25,294.98400000000004,21.83400000000006
35.5,24.5,294.68,21.53000000000003
35.5,24.75,293.4853333333333,20.335333333333324
35.5,25.0,295.1037931034483,21.953793103448334
35.5,25.25,290.74,17.590000000000032
35.5,26.75,295.9066666666667,22.756666666666717
35.5,27.0,296.91378640776696,23.763786407766986
35.5,27.25,297.1043859649123,23.95438596491232
35.5,33.0,297.15500000000003,24.005000000000052
35.5,33.75,294.32437500000003,21.174375000000055
35.5,34.0,298.5952879581152,25.445287958115216
35.5,34.25,297.26457627118646,24.11457627118648
35.5,34.5,293.85818181818183,20.708181818181856
35.5,35.75,296.5167777777778,23.366777777777827
35.5,36.0,294.82239631336404,21.67239631336406
35.5,36.25,297.24326530612245,24.093265306122476
35.5,36.5,296.769375,23.619375000000048
35.5,36.75,297.34000000000003,24.190000000000055
35.5,37.0,302.8057725947522,29.65577259475225
35.5,37.25,304.7958154859967,31.645815485996707
35.5,37.5,301.7027807486631,28.55278074866311
35.5,37.75,302.71277213352687,29.56277213352689
35.5,38.0,304.64271653543307,31.49271653543309
35.75,-0.75,289.38,16.230000000000018
35.75,-0.5,301.4563184079602,28.306318407960248
35.75,-0.25,303.1422748815166,29.992274881516607
35.75,0.0,299.7467741935484,26.596774193548413
35.75,0.25,300.55589285714285,27.405892857142874
35.75,0.5,301.3258426966292,28.175842696629218
35.75,0.75,303.80293023255814,30.652930232558163
35.75,1.0,303.87738933030647,30.727389330306494
35.75,1.25,302.70033594624863,29.55033594624865
35.75,1.5,300.88200466200465,27.73200466200467
35.75,1.75,298.16712328767125,25.017123287671268
35.75,2.5,292.34000000000003,19.190000000000055
35.75,2.75,296.47615384615386,23.326153846153886
35.75,3.0,295.09903614457835,21.949036144578372
35.75,3.25,292.46739884393065,19.317398843930675
35.75,3.5,296.14710172744725,22.997101727447273
35.75,3.75,295.5326282051282,22.382628205128242
35.75,4.0,298.0908771929825,24.940877192982498
35.75,4.25,300.5781624500666,27.428162450066623
35.75,4.5,304.1018888888889,30.951888888888902
35.75,4.75,302.6032272727273,29.453227272727304
35.75,5.0,301.03260815822006,27.88260815822008
35.75,5.25,300.7111061452514,27.561106145251415
35.75,5.5,301.34864444444446,28.198644444444483
35.75,5.75,301.3022222222222,28.152222222222235
35.75,6.0,297.24248756218907,24.092487562189092
35.75,6.25,299.1779383886256,26.027938388625614
35.75,6.5,297.73262111801245,24.58262111801247
35.75,6.75,304.33670745272525,31.186707452725273
35.75,7.0,305.04316964285715,31.893169642857174
35.75,7.25,304.52533180778033,31.375331807780356
35.75,7.5,304.2897111111111,31.139711111111126
35.75,7.75,304.64026666666666,31.490266666666685
35.75,8.0,304.8014888888889,31.651488888888935
35.75,8.25,306.0780666666667,32.92806666666672
35.75,8.5,305.4493111111111,32.29931111111114
35.75,8.75,305.2614888888889,32.111488888888914
35.75,9.0,304.6014888888889,31.451488888888946
35.75,9.25,302.97342281879196,29.823422818791983
