latitude,longitude,land_cover_class
-89.875,-79.875,15
-89.875,-79.625,15
-89.875,-79.375,15
-89.875,-79.125,15
-89.875,-78.875,15
-89.875,-78.625,15
-89.875,-78.375,15
-89.875,-78.125,15
-89.875,-77.875,15
-89.875,-77.625,15
-89.875,-77.375,15
-89.875,-77.125,15
-89.875,-76.875,15
-89.875,-76.625,15
-89.875,-76.375,15
-89.875,-76.125,15
-89.875,-75.875,15
-89.875,-75.625,15
-89.875,-75.375,15
-89.875,-75.125,15
-89.875,-74.875,15
-89.875,-74.625,15
-89.875,-74.375,15
-89.875,-74.125,15
-89.875,-73.875,15
-89.875,-73.625,15
-89.875,-73.375,15
-89.875,-73.125,15
-89.875,-72.875,15
-89.875,-72.625,15
-89.875,-72.375,15
-89.875,-72.125,15
-89.875,-71.875,15
-89.875,-71.625,15
-89.875,-71.375,15
-89.875,-71.125,15
-89.875,-70.875,15
-89.875,-70.625,15
-89.875,-70.375,15
-89.875,-70.125,15
-89.875,-69.875,15
-89.875,-69.625,15
-89.875,-69.375,15
-89.875,-69.125,15
-89.875,-68.875,15
-89.875,-68.625,15
-89.875,-68.375,15
-89.875,-68.125,15
-89.875,-67.875,15
-89.875,-67.625,15
-89.875,-67.375,15
-89.875,-67.125,15
-89.875,-66.875,15
-89.875,-66.625,15
-89.875,-66.375,15
-89.875,-66.125,15
-89.875,-65.875,15
-89.875,-65.625,15
-89.875,-65.375,15
-89.875,-65.125,15
-89.875,-64.875,15
-89.875,-64.625,15
-89.875,-64.375,15
-89.875,-64.125,15
-89.875,-63.875,15
-89.875,-63.625,15
-89.875,-63.375,15
-89.875,-63.125,15
-89.875,-62.875,15
-89.875,-62.625,15
-89.875,-62.375,15
-89.875,-62.125,15
-89.875,-61.875,15
-89.875,-61.625,15
-89.875,-61.375,15
-89.875,-61.125,15
-89.875,-60.875,15
-89.875,-60.625,15
-89.875,-60.375,15
-89.875,-60.125,15
-89.875,-59.875,15
-89.875,-59.625,15
-89.875,-59.375,15
-89.875,-59.125,15
-89.875,-58.875,15
-89.875,-58.625,15
-89.875,-58.375,15
-89.875,-58.125,15
-89.875,-57.875,15
-89.875,-57.625,15
-89.875,-57.375,15
-89.875,-57.125,15
-89.875,-56.875,15
-89.875,-56.625,15
-89.875,-56.375,15
-89.875,-56.125,15
-89.875,-55.875,15
-89.875,-55.625,15
-89.875,-55.375,15
-89.875,-55.125,15
-89.875,-54.875,15
-89.875,-54.625,15
-89.875,-54.375,15
-89.875,-54.125,15
-89.875,-53.875,15
-89.875,-53.625,15
-89.875,-53.375,15
-89.875,-53.125,15
-89.875,-52.875,15
-89.875,-52.625,15
-89.875,-52.375,15
-89.875,-52.125,15
-89.875,-51.875,15
-89.875,-51.625,15
-89.875,-51.375,15
-89.875,-51.125,15
-89.875,-50.875,15
-89.875,-50.625,15
-89.875,-50.375,15
-89.875,-50.125,15
-89.875,-49.875,15
-89.875,-49.625,15
-89.875,-49.375,15
-89.875,-49.125,15
-89.875,-48.875,15
-89.875,-48.625,15
-89.875,-48.375,15
-89.875,-48.125,15
-89.875,-47.875,15
-89.875,-47.625,15
-89.875,-47.375,15
-89.875,-47.125,15
-89.875,-46.875,15
-89.875,-46.625,15
-89.875,-46.375,15
-89.875,-46.125,15
-89.875,-45.875,15
-89.875,-45.625,15
-89.875,-45.375,15
-89.875,-45.125,15
-89.875,-44.875,15
-89.875,-44.625,15
-89.875,-44.375,15
-89.875,-44.125,15
-89.875,-43.875,15
-89.875,-43.625,15
-89.875,-43.375,15
-89.875,-43.125,15
-89.875,-42.875,15
-89.875,-42.625,15
-89.875,-42.375,15
-89.875,-42.125,15
-89.875,-41.875,15
-89.875,-41.625,15
-89.875,-41.375,15
-89.875,-41.125,15
-89.875,-40.875,15
-89.875,-40.625,15
-89.875,-40.375,15
-89.875,-40.125,15
-89.875,-39.875,15
-89.875,-39.625,15
-89.875,-39.375,15
-89.875,-39.125,15
-89.875,-38.875,15
-89.875,-38.625,15
-89.875,-38.375,15
-89.875,-38.125,15
-89.875,-37.875,15
-89.875,-37.625,15
-89.875,-37.375,15
-89.875,-37.125,15
-89.875,-36.875,15
-89.875,-36.625,15
-89.875,-36.375,15
-89.875,-36.125,15
-89.875,-35.875,15
-89.875,-35.625,15
-89.875,-35.375,15
-89.875,-35.125,15
-89.875,-34.875,15
-89.875,-34.625,15
-89.875,-34.375,15
-89.875,-34.125,15
-89.875,-33.875,15
-89.875,-33.625,15
-89.875,-33.375,15
-89.875,-33.125,15
-89.875,-32.875,15
-89.875,-32.625,15
-89.875,-32.375,15
-89.875,-32.125,15
-89.875,-31.875,15
-89.875,-31.625,15
-89.875,-31.375,15
-89.875,-31.125,15
-89.875,-30.875,15
-89.875,-30.625,15
-89.875,-30.375,15
-89.875,-30.125,15
-89.875,-29.875,15
-89.875,-29.625,15
-89.875,-29.375,15
-89.875,-29.125,15
-89.875,-28.875,15
-89.875,-28.625,15
-89.875,-28.375,15
-89.875,-28.125,15
-89.875,-27.875,15
-89.875,-27.625,15
-89.875,-27.375,15
-89.875,-27.125,15
-89.875,-26.875,15
-89.875,-26.625,15
-89.875,-26.375,15
-89.875,-26.125,15
-89.875,-25.875,15
-89.875,-25.625,15
-89.875,-25.375,15
-89.875,-25.125,15
-89.875,-24.875,15
-89.875,-24.625,15
-89.875,-24.375,15
-89.875,-24.125,15
-89.875,-23.875,15
-89.875,-23.625,15
-89.875,-23.375,15
-89.875,-23.125,15
-89.875,-22.875,15
-89.875,-22.625,15
-89.875,-22.375,15
-89.875,-22.125,15
-89.875,-21.875,15
-89.875,-21.625,15
-89.875,-21.375,15
-89.875,-21.125,15
-89.875,-20.875,15
-89.875,-20.625,15
-89.875,-20.375,15
-89.875,-20.125,15
-89.875,-19.875,15
-89.875,-19.625,15
-89.875,-19.375,15
-89.875,-19.125,15
-89.875,-18.875,15
-89.875,-18.625,15
-89.875,-18.375,15
-89.875,-18.125,15
-89.875,-17.875,15
-89.875,-17.625,15
-89.875,-17.375,15
-89.875,-17.125,15
-89.875,-16.875,15
-89.875,-16.625,15
-89.875,-16.375,15
-89.875,-16.125,15
-89.875,-15.875,15
