TIMESTAMP_START;AMF_US-Aud_BASE-BADM_4-1;AMF_US-Bkg_BASE-BADM_4-1;AMF_US-Blk_BASE-BADM_2-1;AMF_US-Bo1_BASE-BADM_2-1;AMF_US-Bo2_BASE-BADM_2-1;AMF_US-Dk3_BASE-BADM_4-5;AMF_US-FPe_BASE-BADM_2-1;AMF_US-MMS_BASE-BADM_25-5;AMF_US-MOz_BASE-BADM_11-5;FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4;FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4;FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4;FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4;FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4
19/11/2005;2.803.825;275.785;274.335;274.325;;28.609.275;27.524.249.999.999.900;279.31;2.799.877;2.727.725;276.78;280.45;280.071;282.41
20/11/2005;2.816.525;27.649.249.999.999.900;274.385;275.14;;28.538.775;2.730.025;280.2;28.140.565;273.245;276.38;280.0;280.261;282.045
21/11/2005;27.929.999.999.999.900;27.705.249.999.999.900;274.275;27.792.499.999.999.900;;2.855.215;2.753.575;280.66;28.106.215;276.59;277.375;280.315;28.013.925;2.820.425
22/11/2005;27.998.749.999.999.900;27.630.249.999.999.900;274.15;27.611.749.999.999.900;;285.824;273.17;280.67;28.113.289.999.999.900;2.736.575;276.83;2.804.675;280.071;28.217.999.999.999.900
23/11/2005;28.148.749.999.999.900;277.525;274.4;275.51;;28.541.074.999.999.900;2.745.575;279.37;2.806.878;27.473.749.999.999.900;276.59;2.795.925;280.261;281.895
24/11/2005;284.505;276.345;27.454.999.999.999.900;2.772.975;;28.482.575;2.748.825;280.59;281.963;275.605;276.755;2.789.825;28.013.925;28.180.499.999.999.900
25/11/2005;282.21;27.461.249.999.999.900;274.325;272.35;;28.498.025;2.714.675;277.1;27.883.975;2.733.125;2.760.075;281.28;280.071;281.705
26/11/2005;282.535;27.423.749.999.999.900;274.155;273.135;;28.434.975;269.685;277.01;2.785.406;2.719.225;275.7;27.930.499.999.999.900;278.757;27.903.725
27/11/2005;284.62;2.749.375;2.742.825;27.899.249.999.999.900;;28.376.874.999.999.900;27.236.749.999.999.900;279.42;282.266;2.711.225;2.751.525;278.7;277.186;2.791.505
28/11/2005;276.905;2.761.275;272.63;284.59;;28.361.775;27.249.249.999.999.900;281.44;2.839.675;2.723.425;2.754.175;278.95;2.756.825;2.793.125
29/11/2005;27.698.749.999.999.900;274.475;27.192.749.999.999.900;27.786.249.999.999.900;;2.847.175;2.726.025;282.52;27.986.685;272.845;2.757.175;2.801.925;2.742.455;27.938.925
30/11/2005;28.011.249.999.999.900;2.739.325;271.54;27.436.749.999.999.900;;28.630.525;272.32;279.58;27.869.275;2.725.975;275.82;2.786.725;2.742.325;27.931.075
01/12/2005;280.65;2.739.475;270.995;2.741.675;;2.859.135;27.098.749.999.999.900;27.873.999.999.999.900;2.786.358;2.728.175;275.82;2.803.125;2.742.195;279.238
02/12/2005;2.816.025;274.04;2.708.825;2.743.425;;2.853.475;2.699.375;277.69;2.773.113;269.985;2.748.325;2.812.775;2.742.455;279.134
03/12/2005;2.828.325;273.9;2.708.825;2.742.925;;28.466.425;270.525;276.82;27.699.485;271.645;2.745.875;28.161.749.999.999.900;2.742.325;279.009
04/12/2005;2.812.075;274.04;270.455;2.746.725;;2.841.795;27.042.999.999.999.900;277.53;27.704.135;272.92;27.524.249.999.999.900;2.821.375;2.742.195;27.879.299.999.999.900
05/12/2005;276.915;274.11;269.685;2.739.825;;284.792;269.25;277.12;2.761.579;2.757.675;276.815;282.095;2.742.455;27.953.074.999.999.900
06/12/2005;275.245;274.13;27.017.749.999.999.900;273.195;;283.736;2.685.975;276.39;27.520.786.675;274.825;276.88;2.810.925;2.742.325;27.986.499.999.999.900
07/12/2005;275.09;273.7;268.57;272.755;;28.323.425;2.677.025;275.67;2.744.237.915;273.285;276.385;279.945;2.742.195;2.800.435
08/12/2005;2.758.925;2.738.575;267.88;2.719.425;2.748.175;28.275.475;266.655;275.29;2.739.490.835;2.743.825;27.667.999.999.999.900;2.816.425;2.742.455;2.801.205
09/12/2005;276.73;273.965;27.036.499.999.999.900;273.25;274.82;2.824.495;268.4;275.53;2.745.788.125;274.855;27.648.749.999.999.900;280.87;2.742.325;27.992.525
10/12/2005;277.435;273.985;271.5;27.317.999.999.999.900;274.695;28.209.025;2.719.175;276.01;27.483.925;27.255.249.999.999.900;27.586.249.999.999.900;279.76;2.742.195;2.797.175
11/12/2005;2.808.125;274.085;2.718.475;273.395;2.747.725;281.854;272.945;276.42;27.542.704.999.999.900;272.825;2.745.725;2.787.025;2.742.455;2.793.075
12/12/2005;282.455;27.430.499.999.999.900;272.265;2.734.575;2.749.825;28.181.924.999.999.900;2.729.425;276.65;27.676.715;2.740.375;274.525;2.782.175;2.742.455;27.917.999.999.999.900
13/12/2005;284.97;274.455;2.724.525;;275.155;281.944;2.717.725;276.77;27.724.235;271.975;27.511.249.999.999.900;2.777.225;274.245;27.951.525
14/12/2005;279.095;274.855;271.96;;275.27;281.611;272.51;276.84;27.774.505;274.67;2.754.675;27.942.999.999.999.900;27.424.525;27.972.875
15/12/2005;2.781.825;27.442.749.999.999.900;2.719.975;;2.754.575;281.09;271.75;276.65;27.756.095;2.757.175;2.761.275;2.791.575;274.22;27.987.775
16/12/2005;2.802.175;273.88;2.718.475;2.740.325;275.335;2.805.205;269.54;276.41;2.767.124;276.525;276.38;280.19;27.419.375;280.03
17/12/2005;277.985;273.88;2.709.975;273.95;2.747.925;28.065.075;26.692.749.999.999.900;276.06;27.563.315;2.731.925;2.755.125;28.192.499.999.999.900;2.741.745;280.073
18/12/2005;278.005;273.84;2.702.475;273.935;2.745.825;28.080.625;2.642.125;275.84;27.555.114.999.999.900;272.91;275.375;2.805.025;27.414.374.999.999.900;27.950.924.999.999.900
19/12/2005;2.798.175;2.737.575;269.875;2.738.325;2.743.725;28.073.925;262.01;275.56;27.489.765;272.78;275.315;278.42;27.411.925;279.178
20/12/2005;278.125;273.7;2.705.025;2.736.625;2.738.175;280.616;2.617.725;27.498.999.999.999.900;273.782.625;273.08;275.225;2.780.875;274.104;27.915.574.999.999.900
21/12/2005;278.885;2.737.325;271.565;2.735.075;273.61;28.028.125;263.085;274.81;2.745.517;27.530.499.999.999.900;275.08;278.6;27.409.275;27.923.225
22/12/2005;279.445;2.737.575;272.73;273.335;273.515;27.998.025;26.792.749.999.999.900;274.84;2.748.707;2.746.825;2.750.125;278.215;274.089;27.941.425
23/12/2005;281.1;273.95;27.292.749.999.999.900;2.736.975;2.739.825;27.980.925;2.696.375;274.97;27.671.779.999.999.900;275.595;274.965;277.505;274.087;2.797.515
24/12/2005;2.814.225;274.01;272.995;273.7;274.065;27.991.325;2.723.275;275.92;2.783.538;2.773.075;2.755.425;277.06;274.082;279.982
25/12/2005;280.6;274.02;273.02;274.045;27.436.749.999.999.900;280.19;2.710.375;277.59;27.823.575;276.7;276.04;2.775.175;274.07;28.007.925
26/12/2005;28.230.249.999.999.900;2.740.325;273.035;2.742.075;27.511.249.999.999.900;2.809.565;271.765;276.4;2.777.056;273.285;274.785;278.135;2.740.595;2.797.275
27/12/2005;2.818.825;274.07;273.06;273.905;27.492.749.999.999.900;281.019;2.726.025;276.38;27.844.629.999.999.900;2.733.225;2.745.175;2.779.025;274.059;279.379
28/12/2005;2.807.575;274.095;273.08;279.61;27.898.749.999.999.900;28.101.225;;278.76;27.945.489.999.999.900;273.32;274.63;27.705.499.999.999.900;27.401.725;2.789.235
29/12/2005;281.165;274.135;273.105;2.755.425;2.764.975;2.814.615;;278.67;27.814.385;273.37;274.7;2.767.125;274.049;2.785.605
30/12/2005;2.798.825;27.417.499.999.999.900;2.731.625;2.758.375;276.605;2.818.115;;278.0;2.777.213;273.185;274.72;2.767.275;27.395.775;2.781.935
