date,a,b,r2,rmse,n_points
20050307,0.000467445514263,273.4997646182337,1.0,0.0,2
20050309,-0.1787533651747594,320.95230701640554,0.9961390475515756,0.1229319862318546,3
20050310,-0.1174739499772878,304.0901854219226,0.653046500662958,1.3948358147949422,5
20050312,-0.0275599093551523,280.2209260033716,1.0,0.0,2
20050313,-0.0321675179108719,281.4329195867851,1.0,0.0,2
20050314,0.000536553727748,273.459770230009,1.0,0.0,2
20050315,-0.178916939499278,320.0441128594308,0.3830475763436455,2.312712123603869,3
20050316,0.0545873555002579,260.4018577814455,0.2346247603078108,1.0091875390797151,3
20050317,0.0564802216160056,262.2289998324677,0.0263430714521953,3.371930382459808,4
20050319,1.8516475809350568,-176.79694231204894,1.0,0.0,2
20050320,0.3029819290151226,194.74880406026435,1.0,0.0,2
20050321,-1.0564139514629525,549.7213693672303,1.0,0.0,2
20050323,-0.2546760929463675,346.7500582443583,1.0,0.0,2
20050325,1.8926667321565616,-203.22532512230435,1.0,5.684341886080804e-14,2
20050328,-0.1653246512953386,324.2723058615368,0.9950101755405868,0.1103671799698451,3
20050329,-0.2185812116060347,338.1477525163426,0.7637407857491048,0.6050195749874988,3
20050402,-0.0679818104300835,290.0187957995202,1.0,0.0,2
20050403,12.43648630898027,-3015.029003748477,1.0,2.842170943040401e-13,2
20050404,-0.655172748311031,449.436814546277,1.0,4.019436694230464e-14,2
20050405,-0.8848998674182272,503.1078185529532,1.0,0.0,2
20050408,-0.1897164332498523,330.31167480703704,0.9945446248777784,0.1583087487394524,3
20050409,0.3458137126740808,188.77485579193103,0.2864884275677306,3.008214378254875,3
20050410,5.564658362480246,-1130.1534148668918,1.0,5.684341886080804e-14,2
20050411,-0.1143500467011679,308.00430304910327,1.0,0.0,2
20050412,-0.3766564706057462,377.9959486976513,0.9434424993997113,0.4620822015340842,3
20050413,-0.2020924232321498,333.57902208209686,1.0,0.0,2
20050414,-0.0505331562202079,294.51389339550525,1.0,0.0,2
20050415,-0.0645697293563396,298.73685841368905,1.0,5.684341886080804e-14,2
20050417,0.5827167570804715,130.6579319200026,1.0,0.0,2
20050418,-0.0283352505007472,289.3115698788427,0.9893445149687532,0.0195372247946027,3
20050423,0.2489361951078088,214.50164456299217,0.3327140854065281,2.912668194150009,3
20050424,0.0380966627181294,269.52433947803,0.0068018818365616,4.82873467481116,3
20050427,-0.1035320653538454,308.6651641826885,0.9910670320437523,0.1794132279436011,3
20050428,6.280803845714166,-1389.8627979019648,1.0,2.5736952517654053e-13,2
20050429,0.3231409342063354,192.7829239035136,1.0,4.019436694230464e-14,2
20050430,-0.1840222267490253,331.7795248756532,0.9230360083390016,0.608473136352415,3
20050503,0.1373796252502051,246.54053165290333,0.080408325075553,6.04021833426436,3
20050504,0.001204746656648,284.10462494542435,1.0,0.0,2
20050506,0.7790317843088891,84.42578599687474,1.0,0.0,2
20050509,-0.1683527485951474,324.09043097312644,0.5117735272061992,1.6306367495022738,4
20050510,-0.3543262560920863,372.9311424879097,0.9985738496488418,0.0661032338264643,3
20050512,-0.3909238278140595,382.41049122514926,0.5910632877323816,1.8215279969798075,4
20050515,-0.2465962493095759,347.410435526543,1.0,0.0,2
20050516,-0.1970424829445416,332.6568165082592,0.7848659909477012,1.0525264721409584,3
20050518,-0.226602727315217,340.5353359041909,1.0,5.684341886080804e-14,2
20050519,-0.6967102749077806,454.9192530817588,1.0,0.0,2
20050520,-0.3494307255519273,374.3000416973479,1.0,0.0,2
20050521,-0.1027642428393669,312.18893334232865,0.6425456956374442,0.8412360563425406,3
20050522,0.0856637410296846,260.70718716144773,0.2664073468280431,1.4392376393892878,3
20050523,-0.0953703753784624,310.085165304788,1.0,0.0,2
20050525,-0.0807139352585726,305.95597577514854,0.9401660403040456,0.3178751318309478,3
20050526,-0.156167479537468,327.5081557400036,0.9489970709120484,0.3371997380067672,3
20050530,-0.03960970456354,298.4749849053173,1.0,0.0,2
20050531,0.0310089880212404,278.56673783656305,0.434460767962218,0.3551845903815523,3
20050603,-0.125900383414385,319.17093817571333,1.0,5.684341886080804e-14,2
20050607,-0.1198572891507321,317.0189713449236,1.0,0.0,2
20050610,-0.1152892628385085,312.9560103729307,0.0641380081225679,3.411360679577249,3
20050614,-0.1497751827795919,323.89186571566233,1.0,0.0,2
20050615,3.4812975958653363,-674.1276728802292,1.0,1.449228509952941e-13,2
20050616,0.1501117832886634,244.641559973772,0.6753573400162998,0.9994308365914178,4
20050618,0.092628726850955,263.22004882771904,0.0953856807825995,2.9359808628072352,4
20050619,-0.4809700164425372,414.0324441050094,1.0,0.0,2
20050621,-0.0390631157476342,297.96949394785327,0.9411293698320532,0.4239022456593211,3
20050622,0.0240957570089734,281.849688936425,1.0,5.684341886080804e-14,2
20050626,0.0006249545113716,290.1613228332814,4.635764956018029e-06,3.112446587220812,3
20050627,-0.2856473954744075,366.42300812625655,0.9975193847648174,0.1138855150506348,3
20050628,0.1960976264581528,236.3587515416456,0.4059705493484272,1.8444541822672045,4
20050701,77.70486883217093,-21116.72423019896,1.0,1.3092509114222845e-12,2
20050703,-0.0642238924789256,304.609035200661,0.1184103847422511,2.240832984970506,3
20050704,-0.1465742055284678,329.3304836076178,0.8057612234489104,0.5647614978903881,4
20050705,-0.0010313987332643,289.0473719791849,7.297887481538812e-05,0.8341291518100699,3
20050706,-0.2963692565063697,366.61942622522815,0.9939852776635324,0.1501995885804709,4
20050707,0.1455512909547474,247.80842321612369,1.0,0.0,2
20050708,-0.2931937988645827,364.8201160896666,1.0,5.684341886080804e-14,2
20050709,0.017125351896799,280.0206492828706,0.1631738221138798,0.3165888989512201,3
20050710,54.08406222621596,-14744.148866733682,1.0,8.39283021618565e-13,2
20050711,0.1552516011481819,244.475029402682,1.0,0.0,2
20050712,0.2039965332693028,231.22926633036,0.99966715497283,0.038175501361821,3
20050713,-0.1462945392461713,329.1243780769672,0.8808102954713082,0.5316934786808092,3
20050715,-0.1871014161520923,340.91351525840577,0.8254829576104608,0.8410643732310026,3
20050716,-0.0381284134313786,301.13246528877545,1.0,5.684341886080804e-14,2
20050717,-0.1476516219952855,329.1337965124518,0.997524244040952,0.082813097134209,3
20050718,-0.0104533686354599,290.9226000204841,0.0013468418891906,2.605644279253229,3
20050719,0.0102847097293618,288.04102528884783,0.0103447986763227,1.211553586387211,3
20050720,-0.1396964246514766,326.3421948711548,1.0,0.0,2
20050721,-0.1836225391982012,336.07002326426846,0.907738616337646,0.6240709226871727,3
20050724,-0.2278584659667949,348.1368888330694,1.0,4.019436694230464e-14,2
20050725,-0.1124529009194553,319.78760901293833,0.2068799792306282,1.6701788215782043,4
20050727,0.1527540589125798,247.08110718137272,0.8329662682360943,0.6103486367671915,3
20050728,0.2693045110899783,215.82856383437704,0.6802119551474962,1.5863993538310426,3
20050729,-0.0175996724305066,297.24306400803687,0.0157798974903928,1.5086139442987612,3
20050730,0.2283428040424591,229.50140997769623,0.916920502375336,0.4347676788221472,3
20050731,0.019887713278023,284.3087943379476,1.0,5.684341886080804e-14,2
20050806,-0.0523527204129495,300.58344793616226,0.0460512859868598,2.198294477371657,4
20050808,-0.0663682591353991,303.36726995187985,0.7533571379268086,1.3386535422056154,3
20050809,-0.1639201954803309,331.1421109801255,1.0,0.0,2
20050810,-0.1514503729088336,325.9540952841093,0.1143150707601288,3.192666062782895,3
